Customer No.,Company,Address,Address 2,City,State,Sub Type,Bookings YTD,Previous Years Bookings,5Y Average
SDY91559,Syncrude Canada Ltd.               (H/O),Accounts Payable,PO Bag 4020,Fort McMurray,AB,ZZ TOP-100 (INSIDE),0,899.08,179.816,1
DAV197751,Synergy Engineering Ltd.,135 Glacier Street,,Coquitlam,BC,2. TARGET (OUTSIDE),0,5245.32,27279.034,1
OLF001,Synovus Solutions Inc.,314-55 Water Street,,Vancouver,BC,,0,0,247,1
TAI006,Tamarack Industries,Division of Eljo Industries Inc.,1205 Sherwin Road,Winnipeg,MB,2. TARGET (INSIDE),0,0,406.72,1
TAL005,Tazmech Ltd.,9380 - 26 Avenue,,Edmonton,AB,,0,0,0,1
TEC0048,TC Energy Corporation,1401 Veterans Boulevard NE,Airdrie Service Centre,Airdrie,AB,,0,3232.32,1177.064,1
EM4013064,TD Micronic Inc.,201 - 14770  64th Ave.,,Surrey,BC,2. TARGET (OUTSIDE),0,0,1500,1
TPS004,Team Power Solutions,#30 - 318 Gladstone Crescent,,Saskatoon,SK,TOP 50 - ZOWSLEY,0,182768.97,91438.406,1
TEL0037,Techtree Engineering Ltd.,3801A - 51 Avenue,,Lloydminster,AB,,0,382.2,331.184,1
CT4001542,Teck Metals Ltd.,25 Aldridge Avenue,Box 1000,Trail,BC,5. QUALIFIED LOW,0,0,0,1
EM4014625,Telus,5506 - 92C Avenue,,Edmonton,AB,6. NEW PROSPECT,0,0,340.688,2
TEL0029,Telus - Field Service (Vegreville),5013 51 Avenue,,Vegreville,AB,,0,0,0,1
TCI0022,TELUS Communications Inc.,2002 Enterprise Way,Floor 02,Kelowna,BC,,0,7140,2327.08,1
TCI0012,Telus Communications Inc. (H/O),PO Box 1830 / Accounts Payable,Stn. Main Edmonton,Edmonton,AB,,0,825.64,340.688,1
TEI0023,Terramera Inc.,"333 Seymour St., 11th floor",,Vancouver,BC,,0,0,0,1
TEG0011,Terrapin Geothermics,10707 - 100 Ave. NW,,Edmonton,AB,,0,0,0,1
TEL0014,Territorial Electric Ltd.,8303 Roper Road,,Edmonton,AB,6. NEW PROSPECT,0,0,0,1
TCI0031,TesTneT Canada Inc.,9669 201 Street,,Langley,BC,2. TARGET (OUTSIDE),0,1646.4,625.28,1
TNA002,TGOOD North America Inc.,#3 - 1101 Main Street,,Penticton,BC,,0,0,0,1
TSG001,The State Group,Bay 10 - 999 57th Ave NE,,Calgary,AB,,0,0,0,1
CTT001,Thermon Heating Systems,5918 Roper Road,,Edmonton,AB,2. TARGET (OUTSIDE),0,119401.8,32856.166,1
CT4000562,Thomson Power Systems,4916 - 275 Street,,Langley,BC,TOP 50 - ZOWSLEY,435987.12,723309.47,530664.07,1
CHG004,Toyo Pumps,1550 Brigantine Drive,,Coquitlam,BC,,0,17948,4031.8,1
TRC005,TransAlta Corporation,110 - 12 Avenue SW,,Calgary,AB,,0,0,0,1
TRP009,TransCanada Pipelines,"#10, 11427 - 98 Ave.",,Grand Prairie,AB,,0,0,0,1
TPL2809,Triad Power Ltd.,3342 Millar Ace,Bay #2,Saskatoon,SK,2. TARGET (INSIDE),0,0,0,1
TWS001,Trican Well Service,2305 5A street,,Nisku,AB,3. GOOD PROSPECT,0,0,0,1
TAE002,Triple A Electric,6209-46 Ave,,Red Deer,AB,,0,0,63.72,1
CT4004664,TRIUMF,4004 Wesbrook Mall,Att'n: Accounts Payable,Vancouver,BC,2. TARGET (OUTSIDE),0,930,5616.828,1
TPS009,Tundra Petroleum Services Ltd.,35822 RR285,,Red Deer County,AB,,0,6625.9,1325.18,1
TPX100342,Underwriters Laboratories of Canada,130-13775 Commerce Pkwy,,Richmond,BC,3. GOOD PROSPECT,0,0,291.008,2
ULO004,Underwriters Laboratories of Canada Inc.,1040 Parsons Road SW,,Edmonton,AB,2. TARGET (OUTSIDE),0,0,291.008,2
BP1221547,Unit Electrical Engineering Ltd.,1406 Maple Street,,Okanagan Falls,BC,TOP 50 - ZOWSLEY,10341.74,173132.19,123381.562,1
BP1177363,University of Alberta,116 Street & 85th Avenue,Supply Management Services,Edmonton,AB,,0,1500.96,8402.236,2
CT4004371,University of Alberta,"E3-012 ETLC, Electrical & Computer Engineering",116 Street & 85 Avenue,Edmonton,AB,,0,1600,8402.236,2
UOA009,University Of Alberta,Edmonton Clinic Health Academy,11405-87 Ave NW,Edmoton,AB,,0,0,0,1
UOA002,University of Alberta,"6004,  118st NW",Poulty Research,Edmonton,AB,3. GOOD PROSPECT,0,0,8402.236,2
CT4001063,University of British Columbia,6224 Agricultural Road,Physics & Astronomy Department,Vancouver,BC,ZZ$EXISTING ACCOUNT$,0,0,546.8,11
CT4001558,University of British Columbia,6-6350 Stores Road,Materials Engineering Department,Vancouver,BC,ZZ$EXISTING ACCOUNT$,0,0,546.8,11
CT4004613,University of British Columbia,#176 - 2360 East Mall,Chemical & Biological Engineering,Vancouver,BC,3. GOOD PROSPECT,0,0,546.8,11
CT4005096,University of British Columbia,2036 Main Mall,Department of Chemistry,Vancouver,BC,ZZ$EXISTING ACCOUNT$,140,0,546.8,11
EM4006166,University of British Columbia,6250 Applied Science Lane,Mechanical Engineering Department,Vancouver,BC,ZZ$EXISTING ACCOUNT$,0,1082,546.8,11
EM4006248,University of British Columbia,6250 Applied Science Lane,Civil Enginering Department,Vancouver,BC,6. NEW PROSPECT,0,0,546.8,11
EM4006475,University of British Columbia,6174 University Blvd.,Chemistry Department,Vancouver,BC,6. NEW PROSPECT,0,0,546.8,11
EM4014505,University of British Columbia,2355 East Mall (Brimcombe Bldg),,Vancouver,BC,ZZ$EXISTING ACCOUNT$,0,0,546.8,11
TPX100313,University of British Columbia,2356 Main Mall - Room 112B,Electrical & Computer Eng'g - MacLeod Bldg.,Vancouver,BC,2. TARGET (OUTSIDE),0,3298,546.8,11
UOB0011,University of British Columbia,School of Engineering,1137 Alumni Ave,Kelowna,BC,,0,2163.34,546.8,11
UOB002,University of British Columbia,"2075 Wesbrook Mall, 1st Floor",Supply Management,Vancouver,BC,3. GOOD PROSPECT,0,0,546.8,11
UOB005,University of British Columbia,"6224 Agricultural Rd, Hennings Bldg","Engineering Physics, Room 333A",Vancouver,BC,,0,18156.13,546.8,11
UOB007,University of British Columbia,2329 West Mall - Building Operations,University Services Building,Vancouver,BC,,0,1626.8,546.8,11
UOB009,University of British Columbia,"6190 Agronomy Road, 5th Floor",Financial Operations / Accounts Payable,Vancouver,BC,,0,0,546.8,11
UOB004,University of British Columbia,3333 University Way,School of Engineering,Kelowna,BC,,0,0,546.8,11
BP1119292,University of Calgary,Financial Services / A/P,2500 University Drive NW,Calgary,AB,2. TARGET (OUTSIDE),0,1065.53,778.306,1
EM4011501,University of Manitoba,E1-368 Engineering Bldg,15 Gillson Street,Winnipeg,MB,,0,0,3460.426,3
UOM001,University of Manitoba,"75 Chancellor's Circle, E2-390 EITC",Dept. of Elect. & Comp. Eng.,Winnipeg,MB,2. TARGET (OUTSIDE),0,777,3460.426,3
UOM003,University of Manitoba,Supplier Payment Services,414 Administration Bldg.,Winnipeg,MB,,0,5857,3460.426,3
UOM006,University of Manitoba,"E2-390 EITC Building, Fort Gary Campus",Electrical & Computer Engineering,Winnipeg,MB,,0,0,3460.426,3
EM4011200,University of Northern British Columbia,3333 University Way,Att'n: Accounts Payable,Prince George,BC,5. QUALIFIED LOW,0,0,885.37,1
EM4011504,University of Regina,#100- 3737 Wascana Parkway,Faculty of Engineering,Regina,SK,6. NEW PROSPECT,0,0,54,1
CT4005967,University of Saskatchewan,Engineering Building,57 Campus Drive,Saskatoon,SK,2. TARGET (OUTSIDE),0,0,43.4,2
DAV124758,University of Saskatchewan,Facilities Management,110 Maintenance Road,Saskatoon,SK,ZZ D FAIR PROSPECT,0,0,43.4,2
EM4009049,University of Saskatchewan,Saskatchewan Accele Laboratory,,Saskatoon,SK,6. NEW PROSPECT,0,0,43.4,2
UOT005,University of the Fraser Valley,UFV Accounts Payable,33844 King Road,Abbotsford,BC,,0,0,0,1
UOT006,University of the Fraser Valley,5579 Tyson Rd.,,Chilliwack,BC,,0,0,0,1
CT4001617,University of Victoria,PO Box 3055 Stn CSC,Rm 108 Eng off Wing,Victoria,BC,6. NEW PROSPECT,0,0,1991.628,2
UOV001,University of Victoria,Box 1700 Stn CSC,Purchasing Services,Victoria,BC,2. TARGET (OUTSIDE),0,0,1991.628,2
UOV002,University of Victoria,"Room 120, McKinnon Building",3800 Finnerty Road,Victoria,BC,,0,0,1991.628,2
VCC002,Vancouver Career College,100-5021 Kingsway,,Burnaby,BC,,0,0,589.68,1
EM4010572,Vancouver Coastal Health,VCH-Finance/Accounts Payable Dept,1795 Willingdon Avenue,Burnaby,BC,3. GOOD PROSPECT,0,0,0,1
VII0010,Vantera Incorporated (IPLC),PO Box 334,,Elie,MB,,0,0,0,1
VED003,Vertex Downhole,10911 50 Street SE,,Calgary,AB,,0,0,5140.8,1
DAV189599,VMAC Global Technology Inc.,1333 Kipp Road,,Nanaimo,BC,2. TARGET (OUTSIDE),0,0,4010,1
WDD001,Wajax Power Systems,4343 - 114 Avenue SE,,Calgary,AB,3. GOOD PROSPECT,0,6260.9,1252.18,1
WAC006,Wave Control Systems Ltd.,9612 - 60th Avenue,,Edmonton,AB,3. GOOD PROSPECT,0,0,437.782,1
DAV145790,Wavefront Technology Solutions Inc.,5621 - 70 Street,,Edmonton,AB,,0,0,0,1
DAV182921,West Coast Electric Ltd.,8090 River Road,,Richmond,BC,3. GOOD PROSPECT,0,0,678.264,1
WPE001,Western Pacific Enterprises Ltd.,1321 Ketch Court,,Coquitlam,BC,,0,0,255.126,1
WRL001,Western Robotics Ltd.,#215 - 12837 76th Avenue,,Surrey,BC,,0,0,0,1
WET002,Westgen Technologies,"333 7 Ave SW, #700",,Calgary,AB,2. TARGET (OUTSIDE),0,12470,2494,1
WEM007,Westpine MDF,300 Carradice Road,,Quesnel,BC,,0,0,68.988,1
DAV107202,Westport Fuel Systems Canada Inc.,101 - 1750 West 75th Avenue,,Vancouver,BC,ZZ$EXISTING ACCOUNT$,0,4031.46,1659.884,1
WDS002,Westquip Diesel Sales (Alta.) Ltd.,11162- 261 Street,,Acheson,AB,,0,0,1878.98,1
CT4000896,WIKA Instruments Ltd.,3103 Parsons Rd.,,Edmonton,AB,TOP 50 - ZOWSLEY,0,25668.26,15824.72,1
CT4000864,Willett Manufacturing (2010) Ltd.,"306 Kensington Ave., Southside",PO Box 340,Estevan,SK,2. TARGET (INSIDE),0,6383.5,4799.094,1
EM4006523,Xantrex Technology Inc.,3700 Gilmore Way,,Burnaby,BC,2. TARGET (OUTSIDE),0,0,2539,1
CT4000949,Yaskawa Wermac,5115 - 76th Avenue SE,,Calgary,AB,,0,0,0,1
ZTI002,Zaber Technologies Inc.,#2 - 605 West Kent Ave. N,,Vancouver,BC,2. TARGET (INSIDE),0,0,180.4,1
ZES002,Zinc8 Energy Solutions,"Unit 1, 8765 Ash Street",,Vancouver,BC,TOP 50 - ZOWSLEY,0,22313,8107.736,1
